revenue_event_id,invoice_id,invoice_line_id,claim_id,billable_activity_id,event_type,event_datetime,amount,currency,source_status,source_system,updated_at
REV-000000031,INV-000000031,INVL-000000031,,BACT-000000031,BILLED,2022-10-19T12:00:00,525.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000032,INV-000000032,INVL-000000032,,BACT-000000032,BILLED,2023-02-03T12:00:00,825.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000033,INV-000000033,INVL-000000033,,BACT-000000033,BILLED,2022-11-16T12:00:00,87.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000034,INV-000000034,INVL-000000034,,BACT-000000034,BILLED,2023-08-08T12:00:00,200.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000035,INV-000000035,INVL-000000035,,BACT-000000035,BILLED,2024-02-03T12:00:00,337.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000036,INV-000000036,INVL-000000036,,BACT-000000036,BILLED,2023-04-29T12:00:00,125.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000037,INV-000000037,INVL-000000037,,BACT-000000037,BILLED,2023-07-20T12:00:00,275.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000038,INV-000000038,INVL-000000038,,BACT-000000038,BILLED,2022-05-06T12:00:00,450.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000039,INV-000000039,INVL-000000039,,BACT-000000039,BILLED,2022-01-22T12:00:00,162.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000040,INV-000000040,INVL-000000040,,BACT-000000040,BILLED,2022-08-05T12:00:00,350.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000041,INV-000000041,INVL-000000041,,BACT-000000041,BILLED,2022-08-17T12:00:00,562.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000042,INV-000000042,INVL-000000042,,BACT-000000042,BILLED,2024-12-08T12:00:00,200.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000043,INV-000000043,INVL-000000043,,BACT-000000043,BILLED,2023-07-23T12:00:00,425.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000044,INV-000000044,INVL-000000044,,BACT-000000044,BILLED,2022-12-04T12:00:00,675.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000045,INV-000000045,INVL-000000045,,BACT-000000045,BILLED,2024-09-30T12:00:00,237.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000046,INV-000000046,INVL-000000046,,BACT-000000046,BILLED,2022-06-09T12:00:00,500.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000047,INV-000000047,INVL-000000047,,BACT-000000047,BILLED,2023-06-20T12:00:00,787.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000048,INV-000000048,INVL-000000048,,BACT-000000048,BILLED,2023-12-30T12:00:00,275.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000049,INV-000000049,INVL-000000049,,BACT-000000049,BILLED,2022-02-06T12:00:00,175.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000050,INV-000000050,INVL-000000050,,BACT-000000050,BILLED,2022-08-19T12:00:00,300.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000051,INV-000000051,INVL-000000051,,BACT-000000051,BILLED,2023-08-18T12:00:00,112.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000052,INV-000000052,INVL-000000052,,BACT-000000052,BILLED,2024-12-15T12:00:00,250.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000053,INV-000000053,INVL-000000053,,BACT-000000053,BILLED,2022-12-18T12:00:00,412.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000054,INV-000000054,INVL-000000054,,BACT-000000054,BILLED,2024-11-01T12:00:00,150.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000055,INV-000000055,INVL-000000055,,BACT-000000055,BILLED,2024-10-05T12:00:00,325.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000056,INV-000000056,INVL-000000056,,BACT-000000056,BILLED,2023-02-25T12:00:00,525.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000057,INV-000000057,INVL-000000057,,BACT-000000057,BILLED,2024-04-07T12:00:00,187.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000058,INV-000000058,INVL-000000058,,BACT-000000058,BILLED,2023-03-31T12:00:00,400.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000059,INV-000000059,INVL-000000059,,BACT-000000059,BILLED,2023-10-15T12:00:00,637.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000060,INV-000000060,INVL-000000060,,BACT-000000060,BILLED,2023-03-25T12:00:00,225.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000061,INV-000000061,INVL-000000061,,BACT-000000061,BILLED,2023-07-26T12:00:00,475.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000062,INV-000000062,INVL-000000062,,BACT-000000062,BILLED,2022-07-21T12:00:00,750.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000063,INV-000000063,INVL-000000063,,BACT-000000063,BILLED,2022-02-10T12:00:00,262.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000064,INV-000000064,INVL-000000064,,BACT-000000064,BILLED,2024-05-08T12:00:00,550.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000065,INV-000000065,INVL-000000065,,BACT-000000065,BILLED,2022-12-09T12:00:00,262.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000066,INV-000000066,INVL-000000066,,BACT-000000066,BILLED,2022-12-27T12:00:00,100.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000067,INV-000000067,INVL-000000067,,BACT-000000067,BILLED,2023-02-08T12:00:00,225.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000068,INV-000000068,INVL-000000068,,BACT-000000068,BILLED,2024-05-23T12:00:00,375.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000069,INV-000000069,INVL-000000069,,BACT-000000069,BILLED,2023-01-10T12:00:00,137.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000070,INV-000000070,INVL-000000070,,BACT-000000070,BILLED,2022-03-28T12:00:00,300.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000071,INV-000000071,INVL-000000071,,BACT-000000071,BILLED,2023-01-07T12:00:00,487.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000072,INV-000000072,INVL-000000072,,BACT-000000072,BILLED,2024-03-15T12:00:00,175.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000073,INV-000000073,INVL-000000073,,BACT-000000073,BILLED,2024-03-06T12:00:00,375.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000074,INV-000000074,INVL-000000074,,BACT-000000074,BILLED,2023-04-01T12:00:00,600.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000075,INV-000000075,INVL-000000075,,BACT-000000075,BILLED,2024-10-18T12:00:00,212.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000076,INV-000000076,INVL-000000076,,BACT-000000076,BILLED,2022-10-26T12:00:00,450.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000077,INV-000000077,INVL-000000077,,BACT-000000077,BILLED,2024-05-25T12:00:00,712.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000078,INV-000000078,INVL-000000078,,BACT-000000078,BILLED,2023-12-16T12:00:00,250.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000079,INV-000000079,INVL-000000079,,BACT-000000079,BILLED,2022-11-10T12:00:00,525.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000080,INV-000000080,INVL-000000080,,BACT-000000080,BILLED,2023-02-06T12:00:00,825.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000081,INV-000000081,INVL-000000081,,BACT-000000081,BILLED,2023-01-18T12:00:00,87.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000082,INV-000000082,INVL-000000082,,BACT-000000082,BILLED,2022-01-18T12:00:00,200.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000083,INV-000000083,INVL-000000083,,BACT-000000083,BILLED,2023-02-10T12:00:00,337.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000084,INV-000000084,INVL-000000084,,BACT-000000084,BILLED,2023-01-26T12:00:00,125.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000085,INV-000000085,INVL-000000085,,BACT-000000085,BILLED,2024-04-09T12:00:00,275.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000086,INV-000000086,INVL-000000086,,BACT-000000086,BILLED,2022-10-21T12:00:00,450.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000087,INV-000000087,INVL-000000087,,BACT-000000087,BILLED,2023-02-07T12:00:00,162.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000088,INV-000000088,INVL-000000088,,BACT-000000088,BILLED,2024-08-28T12:00:00,350.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000089,INV-000000089,INVL-000000089,,BACT-000000089,BILLED,2024-02-10T12:00:00,562.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000090,INV-000000090,INVL-000000090,,BACT-000000090,BILLED,2024-09-23T12:00:00,200.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000091,INV-000000091,INVL-000000091,,BACT-000000091,BILLED,2022-09-08T12:00:00,425.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000092,INV-000000092,INVL-000000092,,BACT-000000092,BILLED,2022-12-26T12:00:00,675.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000093,INV-000000093,INVL-000000093,,BACT-000000093,BILLED,2023-06-27T12:00:00,237.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000094,INV-000000094,INVL-000000094,,BACT-000000094,BILLED,2023-08-16T12:00:00,500.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000095,INV-000000095,INVL-000000095,,BACT-000000095,BILLED,2024-05-08T12:00:00,787.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000096,INV-000000096,INVL-000000096,,BACT-000000096,BILLED,2024-11-01T12:00:00,275.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000097,INV-000000097,INVL-000000097,,BACT-000000097,BILLED,2023-01-13T12:00:00,175.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000098,INV-000000098,INVL-000000098,,BACT-000000098,BILLED,2023-05-11T12:00:00,300.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000099,INV-000000099,INVL-000000099,,BACT-000000099,BILLED,2022-12-19T12:00:00,112.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000100,INV-000000100,INVL-000000100,,BACT-000000100,BILLED,2022-01-16T12:00:00,250.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000101,INV-000000101,INVL-000000101,,BACT-000000101,BILLED,2022-04-23T12:00:00,412.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000102,INV-000000102,INVL-000000102,,BACT-000000102,BILLED,2023-07-03T12:00:00,150.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000103,INV-000000103,INVL-000000103,,BACT-000000103,BILLED,2024-03-28T12:00:00,325.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000104,INV-000000104,INVL-000000104,,BACT-000000104,BILLED,2022-01-09T12:00:00,525.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000105,INV-000000105,INVL-000000105,,BACT-000000105,BILLED,2022-10-14T12:00:00,187.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000106,INV-000000106,INVL-000000106,,BACT-000000106,BILLED,2022-12-30T12:00:00,400.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000107,INV-000000107,INVL-000000107,,BACT-000000107,BILLED,2024-02-28T12:00:00,637.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000108,INV-000000108,INVL-000000108,,BACT-000000108,BILLED,2024-04-26T12:00:00,225.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000109,INV-000000109,INVL-000000109,,BACT-000000109,BILLED,2022-11-02T12:00:00,475.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000110,INV-000000110,INVL-000000110,,BACT-000000110,BILLED,2022-01-19T12:00:00,750.00,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000111,INV-000000111,INVL-000000111,,BACT-000000111,BILLED,2022-08-02T12:00:00,262.50,GBP,ISSUED,SYN-BILLING,2025-01-01T09:00:00
REV-000000112,INV-000000001,,,,COLLECTED,2022-01-26T11:00:00,175.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000113,INV-000000002,,,,COLLECTED,2023-09-24T11:00:00,300.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000114,INV-000000003,,,,COLLECTED,2024-12-15T11:00:00,112.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000115,INV-000000004,,,,COLLECTED,2022-04-09T11:00:00,250.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000116,INV-000000005,,,,COLLECTED,2022-04-18T11:00:00,412.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000117,INV-000000006,,,,COLLECTED,2024-06-26T11:00:00,150.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000118,INV-000000007,,,,COLLECTED,2022-05-29T11:00:00,325.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000119,INV-000000008,,,,COLLECTED,2024-01-12T11:00:00,525.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000120,INV-000000009,,,,COLLECTED,2024-10-30T11:00:00,187.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000121,INV-000000010,,,,COLLECTED,2022-07-08T11:00:00,400.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000122,INV-000000011,,,,COLLECTED,2022-12-25T11:00:00,637.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000123,INV-000000012,,,,COLLECTED,2024-07-17T11:00:00,225.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000124,INV-000000013,,,,COLLECTED,2023-09-10T11:00:00,475.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000125,INV-000000014,,,,COLLECTED,2024-09-10T11:00:00,750.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000126,INV-000000015,,,,COLLECTED,2022-11-30T11:00:00,262.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000127,INV-000000016,,,,COLLECTED,2022-04-25T11:00:00,550.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000128,INV-000000017,,,,COLLECTED,2024-11-22T11:00:00,262.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000129,INV-000000018,,,,COLLECTED,2023-06-16T11:00:00,100.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000130,INV-000000019,,,,COLLECTED,2023-03-19T11:00:00,225.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000131,INV-000000020,,,,COLLECTED,2022-09-02T11:00:00,375.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000132,INV-000000021,,,,COLLECTED,2024-05-11T11:00:00,137.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000133,INV-000000022,,,,COLLECTED,2022-07-07T11:00:00,300.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000134,INV-000000023,,,,COLLECTED,2023-07-08T11:00:00,487.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000135,INV-000000024,,,,COLLECTED,2024-05-31T11:00:00,175.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000136,INV-000000025,,,,COLLECTED,2022-08-15T11:00:00,375.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000137,INV-000000026,,,,COLLECTED,2023-06-04T11:00:00,600.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000138,INV-000000027,,,,COLLECTED,2022-07-10T11:00:00,212.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000139,INV-000000028,,,,COLLECTED,2022-11-03T11:00:00,450.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000140,INV-000000029,,,,COLLECTED,2022-10-15T11:00:00,712.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000141,INV-000000030,,,,COLLECTED,2022-07-03T11:00:00,250.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000142,INV-000000031,,,,COLLECTED,2022-10-29T11:00:00,525.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000143,INV-000000032,,,,COLLECTED,2023-02-13T11:00:00,825.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000144,INV-000000033,,,,COLLECTED,2022-11-26T11:00:00,87.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000145,INV-000000034,,,,COLLECTED,2023-08-18T11:00:00,200.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000146,INV-000000035,,,,COLLECTED,2024-02-13T11:00:00,337.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000147,INV-000000036,,,,COLLECTED,2023-05-09T11:00:00,125.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000148,INV-000000037,,,,COLLECTED,2023-07-30T11:00:00,275.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000149,INV-000000038,,,,COLLECTED,2022-05-16T11:00:00,450.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000150,INV-000000039,,,,COLLECTED,2022-02-01T11:00:00,162.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000151,INV-000000040,,,,COLLECTED,2022-08-15T11:00:00,350.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000152,INV-000000041,,,,COLLECTED,2022-08-27T11:00:00,562.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000153,INV-000000042,,,,COLLECTED,2024-12-18T11:00:00,200.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000154,INV-000000043,,,,COLLECTED,2023-08-02T11:00:00,425.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000155,INV-000000044,,,,COLLECTED,2022-12-14T11:00:00,675.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000156,INV-000000045,,,,COLLECTED,2024-10-10T11:00:00,237.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000157,INV-000000046,,,,COLLECTED,2022-06-19T11:00:00,500.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000158,INV-000000047,,,,COLLECTED,2023-06-30T11:00:00,787.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000159,INV-000000048,,,,COLLECTED,2024-01-09T11:00:00,275.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000160,INV-000000049,,,,COLLECTED,2022-02-16T11:00:00,175.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000161,INV-000000050,,,,COLLECTED,2022-08-29T11:00:00,300.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000162,INV-000000051,,,,COLLECTED,2023-08-28T11:00:00,112.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000163,INV-000000052,,,,COLLECTED,2024-12-25T11:00:00,250.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000164,INV-000000053,,,,COLLECTED,2022-12-28T11:00:00,412.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000165,INV-000000054,,,,COLLECTED,2024-11-11T11:00:00,150.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000166,INV-000000055,,,,COLLECTED,2024-10-15T11:00:00,325.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000167,INV-000000056,,,,COLLECTED,2023-03-07T11:00:00,525.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000168,INV-000000057,,,,COLLECTED,2024-04-17T11:00:00,187.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000169,INV-000000058,,,,COLLECTED,2023-04-10T11:00:00,400.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000170,INV-000000059,,,,COLLECTED,2023-10-25T11:00:00,637.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000171,INV-000000060,,,,COLLECTED,2023-04-04T11:00:00,225.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000172,INV-000000061,,,,COLLECTED,2023-08-05T11:00:00,475.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
