check_id,service_id,input_type,baseline_state,failure_state,source_ref
chk_governance_registry_checksum,governance_registry,evidence_integrity,HEALTHY,UNHEALTHY,governance/reference/checksums.sha256
chk_governance_policy_resolution,governance_registry,control_status,HEALTHY,UNHEALTHY,governance/registry
chk_governance_sensitive_field_coverage,governance_registry,control_status,HEALTHY,DEGRADED,governance/reference/sensitive_field_coverage.csv
chk_core_contract_status,healthcare_core,contract_status,HEALTHY,UNHEALTHY,dbt/models/curated/core/entities/_schema.yml
chk_core_data_quality,healthcare_core,data_quality,HEALTHY,DEGRADED,dbt/models/curated/core/reconciliation
chk_core_freshness,healthcare_core,freshness,HEALTHY,DEGRADED,dbt/models/sources
chk_billing_reconciliation,billing_finance,data_quality,HEALTHY,UNHEALTHY,dbt/models/curated/finance/controls
chk_billing_quality_controls,billing_finance,control_status,HEALTHY,DEGRADED,dbt/seeds/assurance
chk_billing_freshness,billing_finance,freshness,HEALTHY,DEGRADED,dbt/models/sources/raw_finance.yml
chk_assurance_exception_inventory,assurance_controls,control_status,HEALTHY,DEGRADED,dbt/models/curated/assurance/exceptions
chk_assurance_evidence_checksum,assurance_controls,evidence_integrity,HEALTHY,UNHEALTHY,docs/operations/assurance-evidence-pack.md
chk_assurance_lifecycle_metadata,assurance_controls,control_status,HEALTHY,DEGRADED,dbt/seeds/assurance/assurance_lifecycle_transitions.csv
chk_release_manifest_integrity,cicd_controls,evidence_integrity,HEALTHY,UNHEALTHY,deployment/reference/release_manifest.json
chk_deployment_manifest_integrity,cicd_controls,evidence_integrity,HEALTHY,UNHEALTHY,deployment/reference/deployment_manifest_prod.json
chk_drift_report_status,cicd_controls,drift_status,HEALTHY,DEGRADED,deployment/reference/drift_report.json
chk_terraform_plan_metadata,terraform_delivery,contract_status,HEALTHY,DEGRADED,infrastructure/terraform
chk_rollback_reference,terraform_delivery,control_status,HEALTHY,DEGRADED,deployment/reference/rollback_plan.md
chk_recovery_registry_valid,recovery_evidence_service,recovery_readiness,HEALTHY,UNHEALTHY,recovery/registry/recovery_controls.yaml
chk_recovery_evidence_checksum,recovery_evidence_service,evidence_integrity,HEALTHY,UNHEALTHY,recovery/reference/checksums.sha256
chk_recovery_manifest_integrity,recovery_evidence_service,evidence_integrity,HEALTHY,DEGRADED,recovery/reference/recovery_manifest.json
